borrow_id,book_id,user_id,borrow_date,status,borrow_type
EX2-0055,14,9,2026-08-12 12:12:00,Đã trả,Đọc tại chỗ
EX2-0056,28,9,2026-08-27 11:14:00,Đã trả,Đọc tại chỗ
EX2-0057,49,7,2026-08-29 08:13:00,Đã trả,Đọc tại chỗ
EX2-0058,1,18,2026-08-14 14:26:00,Đã trả,Đọc tại chỗ
EX2-0059,1,6,2026-08-07 14:50:00,Đã trả,Đọc tại chỗ
EX2-0060,16,11,2026-08-14 12:27:00,Đã trả,Mượn về nhà
EX2-0061,1,9,2026-08-23 11:18:00,Đã trả,Đọc tại chỗ
EX2-0062,8,15,2026-08-18 17:17:00,Đã trả,Mượn về nhà
EX2-0063,32,20,2026-08-19 12:06:00,Đã trả,Đọc tại chỗ
EX2-0064,5,3,2026-08-27 09:56:00,Đã trả,Đọc tại chỗ
EX2-0065,12,16,2026-08-07 16:33:00,Đã trả,Đọc tại chỗ
EX2-0066,9,11,2026-08-08 15:28:00,Đã trả,Đọc tại chỗ
EX2-0067,11,9,2026-08-24 08:49:00,Đã trả,Đọc tại chỗ
EX2-0068,12,1,2026-08-18 17:01:00,Đã trả,Đọc tại chỗ
EX2-0069,4,6,2026-08-28 15:04:00,Đã trả,Đọc tại chỗ
EX2-0070,34,2,2026-08-22 17:13:00,Đã trả,Đọc tại chỗ
EX2-0071,44,6,2026-08-02 15:25:00,Đã trả,Đọc tại chỗ
EX2-0072,11,16,2026-08-16 09:07:00,Đã trả,Mượn về nhà
EX2-0073,6,20,2026-08-27 17:40:00,Đã trả,Đọc tại chỗ
EX2-0074,14,10,2026-08-24 12:18:00,Đã trả,Mượn về nhà
EX2-0075,19,9,2026-08-17 10:29:00,Đã trả,Mượn về nhà
EX2-0076,10,2,2026-08-26 14:46:00,Đã trả,Đọc tại chỗ
EX2-0077,17,17,2026-08-15 16:58:00,Đã trả,Mượn về nhà
EX2-0078,23,15,2026-08-05 08:34:00,Đã trả,Mượn về nhà
EX2-0079,18,3,2026-08-05 16:50:00,Đã trả,Mượn về nhà
EX2-0080,42,1,2026-08-26 11:34:00,Đã trả,Mượn về nhà
EX2-0081,16,20,2026-08-03 11:49:00,Đã trả,Đọc tại chỗ
EX2-0082,39,12,2026-08-31 08:02:00,Đã trả,Đọc tại chỗ
EX2-0083,14,7,2026-08-15 14:59:00,Đã trả,Đọc tại chỗ
EX2-0084,13,15,2026-08-07 09:38:00,Đã trả,Mượn về nhà
EX2-0085,12,10,2026-08-01 14:21:00,Đã trả,Mượn về nhà
EX2-0086,39,15,2026-08-14 17:31:00,Đã trả,Đọc tại chỗ
EX2-0087,8,6,2026-08-17 17:24:00,Đã trả,Đọc tại chỗ
EX2-0088,43,20,2026-08-02 13:45:00,Đã trả,Mượn về nhà
EX2-0089,6,8,2026-08-12 16:03:00,Đã trả,Mượn về nhà
EX2-0090,1,7,2026-08-20 10:07:00,Đã trả,Mượn về nhà
EX2-0091,22,11,2026-08-27 16:32:00,Đã trả,Mượn về nhà
EX2-0092,41,19,2026-08-26 16:58:00,Đã trả,Đọc tại chỗ
EX2-0093,23,17,2026-08-12 11:15:00,Đã trả,Đọc tại chỗ
EX2-0094,7,19,2026-08-19 14:33:00,Đã trả,Đọc tại chỗ
EX2-0095,11,16,2026-08-29 12:15:00,Đã trả,Đọc tại chỗ
EX2-0096,19,14,2026-08-04 15:56:00,Đã trả,Đọc tại chỗ
EX2-0097,45,6,2026-08-20 11:01:00,Đã trả,Đọc tại chỗ
EX2-0098,33,1,2026-08-24 14:23:00,Đã trả,Đọc tại chỗ
EX2-0099,14,6,2026-08-29 10:10:00,Đã trả,Mượn về nhà
EX2-0100,46,7,2026-08-08 11:01:00,Đã trả,Đọc tại chỗ
EX2-0101,13,6,2026-08-17 17:31:00,Đã trả,Đọc tại chỗ
EX2-0102,11,3,2026-08-23 17:55:00,Đã trả,Đọc tại chỗ
EX2-0103,5,8,2026-08-30 15:24:00,Đã trả,Mượn về nhà
EX2-0104,12,16,2026-08-11 08:17:00,Đã trả,Mượn về nhà
EX2-0105,4,10,2026-08-02 11:28:00,Đã trả,Đọc tại chỗ
EX2-0106,13,1,2026-08-09 08:28:00,Đã trả,Mượn về nhà
EX2-0107,13,9,2026-08-03 08:51:00,Đã trả,Đọc tại chỗ
EX2-0108,47,12,2026-08-04 14:14:00,Đã trả,Mượn về nhà
EX2-0109,11,20,2026-08-16 15:32:00,Đã trả,Đọc tại chỗ
EX2-0110,5,15,2026-08-01 11:00:00,Đã trả,Mượn về nhà
EX2-0111,10,11,2026-08-26 11:15:00,Đã trả,Đọc tại chỗ
EX2-0112,2,18,2026-08-25 09:24:00,Đã trả,Đọc tại chỗ
EX2-0113,5,15,2026-08-07 08:01:00,Đã trả,Đọc tại chỗ
EX2-0114,3,17,2026-08-09 10:00:00,Đã trả,Mượn về nhà
EX2-0115,3,7,2026-08-12 14:35:00,Đã trả,Đọc tại chỗ
EX2-0116,8,5,2026-08-25 10:36:00,Đã trả,Đọc tại chỗ
EX2-0117,14,15,2026-08-01 14:26:00,Đã trả,Mượn về nhà
EX2-0118,2,6,2026-08-08 12:31:00,Đã trả,Đọc tại chỗ
EX2-0119,16,15,2026-08-26 17:52:00,Đã trả,Mượn về nhà
EX2-0120,37,1,2026-08-23 16:07:00,Đã trả,Mượn về nhà
EX2-0121,14,14,2026-08-27 08:45:00,Đã trả,Đọc tại chỗ
EX2-0122,3,4,2026-08-16 11:00:00,Đã trả,Mượn về nhà
EX2-0123,11,2,2026-08-16 17:28:00,Đã trả,Mượn về nhà
EX2-0124,43,3,2026-08-29 13:35:00,Đã trả,Đọc tại chỗ
EX2-0125,9,12,2026-08-25 15:53:00,Đã trả,Đọc tại chỗ
EX2-0126,43,19,2026-08-12 17:26:00,Đã trả,Mượn về nhà
EX2-0127,13,13,2026-08-10 09:40:00,Đã trả,Đọc tại chỗ
EX2-0128,15,6,2026-08-22 11:58:00,Đã trả,Mượn về nhà
EX2-0129,24,6,2026-08-22 15:08:00,Đã trả,Đọc tại chỗ
EX2-0130,5,20,2026-08-22 16:27:00,Đã trả,Đọc tại chỗ
EX2-0131,15,6,2026-08-25 15:11:00,Đã trả,Mượn về nhà
EX2-0132,6,10,2026-08-04 08:01:00,Đã trả,Đọc tại chỗ
EX2-0133,7,16,2026-08-03 16:47:00,Đã trả,Đọc tại chỗ
EX2-0134,15,7,2026-08-04 08:29:00,Đã trả,Mượn về nhà
EX2-0135,10,2,2026-08-04 14:42:00,Đã trả,Mượn về nhà
EX2-0136,4,6,2026-08-26 11:26:00,Đã trả,Mượn về nhà
EX2-0137,7,16,2026-08-17 17:53:00,Đã trả,Mượn về nhà
EX2-0138,5,3,2026-08-11 16:56:00,Đã trả,Đọc tại chỗ
EX2-0139,16,4,2026-08-02 15:09:00,Đã trả,Đọc tại chỗ
EX2-0140,12,3,2026-08-30 08:53:00,Đã trả,Mượn về nhà
EX2-0141,41,18,2026-08-22 15:13:00,Đã trả,Mượn về nhà
EX2-0142,14,6,2026-08-19 13:52:00,Đã trả,Đọc tại chỗ
EX2-0143,10,7,2026-08-14 15:27:00,Đã trả,Mượn về nhà
EX2-0144,41,10,2026-08-18 10:42:00,Đã trả,Đọc tại chỗ
EX2-0145,36,15,2026-08-19 15:26:00,Đã trả,Đọc tại chỗ
EX2-0146,8,15,2026-08-18 17:02:00,Đã trả,Mượn về nhà
EX2-0147,2,3,2026-08-19 11:48:00,Đã trả,Mượn về nhà
EX2-0148,33,13,2026-08-17 11:05:00,Đã trả,Đọc tại chỗ
EX2-0149,18,7,2026-08-11 15:36:00,Đã trả,Mượn về nhà
EX2-0150,4,2,2026-08-21 12:23:00,Đã trả,Mượn về nhà
EX2-0151,7,18,2026-08-20 12:25:00,Đã trả,Mượn về nhà
EX2-0152,2,4,2026-08-03 12:58:00,Đã trả,Đọc tại chỗ
EX2-0153,7,5,2026-08-09 09:19:00,Đã trả,Đọc tại chỗ
EX2-0154,15,3,2026-08-21 14:35:00,Đã trả,Đọc tại chỗ
EX2-0155,36,20,2026-08-06 10:56:00,Đã trả,Mượn về nhà
EX2-0156,29,17,2026-08-03 13:43:00,Đã trả,Đọc tại chỗ
EX2-0157,12,4,2026-08-19 16:29:00,Đã trả,Đọc tại chỗ
EX2-0158,13,19,2026-08-15 12:31:00,Đã trả,Mượn về nhà
EX2-0159,7,4,2026-08-08 11:49:00,Đã trả,Đọc tại chỗ
EX2-0160,2,3,2026-08-23 08:45:00,Đã trả,Mượn về nhà
EX2-0161,14,1,2026-08-22 11:15:00,Đã trả,Đọc tại chỗ
EX2-0162,21,10,2026-08-03 13:10:00,Đã trả,Mượn về nhà
EX2-0163,3,17,2026-08-05 15:29:00,Đã trả,Đọc tại chỗ
EX2-0164,27,15,2026-08-18 09:18:00,Đã trả,Mượn về nhà
EX2-0165,50,17,2026-08-18 15:14:00,Đã trả,Mượn về nhà
EX2-0166,15,15,2026-08-03 12:33:00,Đã trả,Mượn về nhà
EX2-0167,46,2,2026-08-07 09:19:00,Đã trả,Đọc tại chỗ
EX2-0168,9,20,2026-08-11 08:29:00,Đã trả,Mượn về nhà
EX2-0169,7,19,2026-08-14 16:09:00,Đã trả,Mượn về nhà
EX2-0170,25,15,2026-08-25 08:11:00,Đã trả,Đọc tại chỗ
EX2-0171,9,2,2026-08-22 16:45:00,Đã trả,Đọc tại chỗ
EX2-0172,15,7,2026-08-04 16:28:00,Đã trả,Đọc tại chỗ
EX2-0173,13,6,2026-08-23 13:54:00,Đã trả,Đọc tại chỗ
EX2-0174,37,11,2026-08-12 08:17:00,Đã trả,Đọc tại chỗ
EX2-0175,14,10,2026-08-18 16:58:00,Đã trả,Đọc tại chỗ
EX2-0176,34,10,2026-08-23 15:03:00,Đã trả,Mượn về nhà
EX2-0177,38,17,2026-08-08 16:48:00,Đã trả,Đọc tại chỗ
EX2-0178,19,14,2026-08-13 09:08:00,Đã trả,Mượn về nhà
EX2-0179,11,20,2026-08-12 16:10:00,Đã trả,Mượn về nhà
