borrow_id,book_id,user_id,borrow_date,status,borrow_type
EX1-0097,36,9,2026-07-16 09:02:00,Đã trả,Mượn về nhà
EX1-0098,19,10,2026-07-28 12:23:00,Đã trả,Mượn về nhà
EX1-0099,12,7,2026-07-23 10:25:00,Đã trả,Mượn về nhà
EX1-0100,8,2,2026-07-25 15:40:00,Đã trả,Mượn về nhà
EX1-0101,20,5,2026-07-08 11:40:00,Đã trả,Mượn về nhà
EX1-0102,16,2,2026-07-07 14:33:00,Đã trả,Mượn về nhà
EX1-0103,2,6,2026-07-21 11:27:00,Đã trả,Mượn về nhà
EX1-0104,40,15,2026-07-02 10:02:00,Đã trả,Đọc tại chỗ
EX1-0105,20,7,2026-07-19 14:43:00,Đã trả,Đọc tại chỗ
EX1-0106,20,4,2026-07-01 12:01:00,Đã trả,Mượn về nhà
EX1-0107,19,1,2026-07-12 10:59:00,Đã trả,Mượn về nhà
EX1-0108,30,9,2026-07-27 08:22:00,Đã trả,Mượn về nhà
EX1-0109,3,14,2026-07-09 10:12:00,Đã trả,Đọc tại chỗ
EX1-0110,30,4,2026-07-17 16:52:00,Đã trả,Đọc tại chỗ
EX1-0111,8,14,2026-07-25 17:39:00,Đã trả,Mượn về nhà
EX1-0112,19,11,2026-07-17 16:04:00,Đã trả,Đọc tại chỗ
EX1-0113,13,7,2026-07-30 13:37:00,Đã trả,Mượn về nhà
EX1-0114,9,1,2026-07-07 14:43:00,Đã trả,Đọc tại chỗ
EX1-0115,4,8,2026-07-18 08:44:00,Đã trả,Mượn về nhà
EX1-0116,2,8,2026-07-23 14:13:00,Đã trả,Mượn về nhà
EX1-0117,11,2,2026-07-17 15:03:00,Đã trả,Mượn về nhà
EX1-0118,12,2,2026-07-12 11:35:00,Đã trả,Mượn về nhà
EX1-0119,15,12,2026-07-23 16:27:00,Đã trả,Đọc tại chỗ
EX1-0120,8,8,2026-07-29 16:29:00,Đã trả,Mượn về nhà
EX1-0121,5,15,2026-07-21 17:38:00,Đã trả,Đọc tại chỗ
EX1-0122,11,11,2026-07-17 08:06:00,Đã trả,Đọc tại chỗ
EX1-0123,39,1,2026-07-06 15:01:00,Đã trả,Đọc tại chỗ
EX1-0124,1,6,2026-07-07 13:17:00,Đã trả,Đọc tại chỗ
EX1-0125,48,11,2026-07-06 16:41:00,Đã trả,Mượn về nhà
EX1-0126,17,4,2026-07-12 10:09:00,Đã trả,Mượn về nhà
EX1-0127,27,3,2026-07-01 15:54:00,Đã trả,Đọc tại chỗ
EX1-0128,7,1,2026-07-10 11:32:00,Đã trả,Mượn về nhà
EX1-0129,5,9,2026-07-31 13:29:00,Đã trả,Mượn về nhà
EX1-0130,13,5,2026-07-26 16:55:00,Đã trả,Đọc tại chỗ
EX1-0131,48,5,2026-07-26 13:45:00,Đã trả,Mượn về nhà
EX1-0132,25,5,2026-07-13 15:49:00,Đã trả,Mượn về nhà
EX1-0133,10,5,2026-07-07 15:55:00,Đã trả,Mượn về nhà
EX1-0134,10,3,2026-07-11 17:23:00,Đã trả,Mượn về nhà
EX1-0135,22,14,2026-07-13 14:07:00,Đã trả,Mượn về nhà
EX1-0136,40,3,2026-07-08 11:01:00,Đã trả,Mượn về nhà
EX1-0137,31,10,2026-07-14 09:12:00,Đã trả,Đọc tại chỗ
EX1-0138,12,11,2026-07-14 13:13:00,Đã trả,Đọc tại chỗ
EX1-0139,19,12,2026-07-17 14:57:00,Đã trả,Mượn về nhà
EX1-0140,21,9,2026-07-18 12:45:00,Đã trả,Mượn về nhà
EX1-0141,18,4,2026-07-28 10:58:00,Đã trả,Đọc tại chỗ
EX1-0142,38,12,2026-07-05 10:50:00,Đã trả,Đọc tại chỗ
EX1-0143,47,3,2026-07-26 12:35:00,Đã trả,Đọc tại chỗ
EX1-0144,23,13,2026-07-29 15:03:00,Đã trả,Mượn về nhà
EX1-0145,11,7,2026-07-21 17:29:00,Đã trả,Đọc tại chỗ
EX1-0146,44,7,2026-07-09 14:33:00,Đã trả,Mượn về nhà
EX1-0147,12,11,2026-07-22 14:51:00,Đã trả,Mượn về nhà
EX1-0148,14,13,2026-07-26 13:16:00,Đã trả,Mượn về nhà
EX1-0149,19,6,2026-07-21 11:17:00,Đã trả,Mượn về nhà
